year	details
2024-Present	Women in Lymphoma Steering Committee
2023-Present	Guider, Girl Guides of Canada
2019-2022	Secretary, Board of Directors, Lonsdale Creek Daycare Society 
2012-2013	President, MBB Graduate Caucus
2012-2013	Student Representative, MBB Departmental Graduate Studies Committee
2011-2012	Secretary, MBB Graduate Caucus
